Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
17E800     400    Yes    00017E23-00017E2A        8
183400     400    Yes    00017E2B-00017E32        8
183A00     600    Yes    00017E33-00017E3A        8
184800    3C00    Yes    00017E3B-00017E42        8
189000     400    Yes    00017E43-00017E4A        8
189A00    6600    Yes    00017E4B-00017E52        8
1906C9      10    No     00017E53-00017E67       15
1906E9      10    No     00017E68-00017E7C       15
1A0001     E07    No     00017E7D-00018C88      E0C
1A0E09      9D    Yes    00018C89-00018C90        8
1A0EA6      16    No     00018C91-00018CAB       1B
1A0EBD      2B    Yes    00018CAC-00018CB3        8
1A0EE8       C    No     00018CB4-00018CC4       11
1A0EF4      36    Yes    00018CC5-00018CCC        8
1A0F2A       C    Yes    00018CCD-00018CD4        8
1A0F36       8    No     00018CD5-00018CE1        D
1A0F3E       E    Yes    00018CE2-00018CE9        8
1A0F4C       8    No     00018CEA-00018CF6        D
1A0F54       E    Yes    00018CF7-00018CFE        8
1A0F62       A    No     00018CFF-00018D0D        F
1A0F6C      11    Yes    00018D0E-00018D15        8
1A0F7D       3    No     00018D16-00018D1D        8
1A0F80      13    Yes    00018D1E-00018D25        8
1A0F93      1B    No     00018D26-00018D45       20
1A0FAE      13    Yes    00018D46-00018D4D        8
1A0FC1       1    No     00018D4E-00018D53        6
1A0FC2      15    Yes    00018D54-00018D5B        8
1A0FD8      15    Yes    00018D5C-00018D63        8
1A0FEE      15    Yes    00018D64-00018D6B        8
1A1003       1    No     00018D6C-00018D71        6
1A1004      15    Yes    00018D72-00018D79        8
1A1019       3    No     00018D7A-00018D81        8
1A101C       E    Yes    00018D82-00018D89        8
1A102A       6    No     00018D8A-00018D94        B
1A1030       E    Yes    00018D95-00018D9C        8
1A103E       A    No     00018D9D-00018DAB        F
1A1048      16    Yes    00018DAC-00018DB3        8
1A105E      16    Yes    00018DB4-00018DBB        8
1A1074       C    Yes    00018DBC-00018DC3        8
1A1080       A    No     00018DC4-00018DD2        F
1A108A      16    Yes    00018DD3-00018DDA        8
1A10A0       C    Yes    00018DDB-00018DE2        8
1A10AC       A    No     00018DE3-00018DF1        F
1A10B6       E    Yes    00018DF2-00018DF9        8
1A10C5      1B    No     00018DFA-00018E19       20
1A10E0       E    Yes    00018E1A-00018E21        8
1A10EE      4B    No     00018E22-00018E71       50
1A1139      10    Yes    00018E72-00018E79        8
1A1149      49    No     00018E7A-00018EC7       4E
1A1192       E    Yes    00018EC8-00018ECF        8
1A11A0      1D    No     00018ED0-00018EF1       22
1A11BD       F    Yes    00018EF2-00018EF9        8
1A11CC       2    No     00018EFA-00018F00        7
1A11CE      14    Yes    00018F01-00018F08        8
1A11E2       8    No     00018F09-00018F15        D
1A11EA      15    Yes    00018F16-00018F1D        8
1A1200       E    Yes    00018F1E-00018F25        8
1A120E       2    No     00018F26-00018F2C        7
1A1210      28    Yes    00018F2D-00018F34        8
1A1238       A    No     00018F35-00018F43        F
1A1242      2C    Yes    00018F44-00018F4B        8
1A126E       C    Yes    00018F4C-00018F53        8
1A127A       8    No     00018F54-00018F60        D
1A1282       E    Yes    00018F61-00018F68        8
1A1290       A    No     00018F69-00018F77        F
1A129A      16    Yes    00018F78-00018F7F        8
1A12B0       E    Yes    00018F80-00018F87        8
1A12BE       8    No     00018F88-00018F94        D
1A5D89       E    Yes    00018F95-00018F9C        8
1A5D97      1D    No     00018F9D-00018FBE       22
1A5DB4      17    Yes    00018FBF-00018FC6        8
1A5DCB       C    Yes    00018FC7-00018FCE        8
1A5DD7      12    No     00018FCF-00018FE5       17
1A5DE9       E    Yes    00018FE6-00018FED        8
1A5DF7       F    Yes    00018FEE-00018FF5        8
1A5E07       6    Yes    00018FF6-00018FFD        8
1A5E0D      16    Yes    00018FFE-00019005        8
1A5E23       C    No     00019006-00019016       11
1A5E2F      16    Yes    00019017-0001901E        8
1A5E45       2    No     0001901F-00019025        7
1A5E47      1E    Yes    00019026-0001902D        8
1A5E65      2C    Yes    0001902E-00019035        8
1A5E91       C    Yes    00019036-0001903D        8
1A5E9D      19    No     0001903E-0001905B       1E
1A5EB6      13    Yes    0001905C-00019063        8
1A5EC9       3    No     00019064-0001906B        8
1A5ECC      15    Yes    0001906C-00019073        8
1A5EE1      4A    No     00019074-000190C2       4F
1A5F2B      16    Yes    000190C3-000190CA        8
1A5F41      13    Yes    000190CB-000190D2        8
1A5F54       3    No     000190D3-000190DA        8
1A5F57      16    Yes    000190DB-000190E2        8
1A5F6D      6E    Yes    000190E3-000190EA        8
1A5FDB       E    Yes    000190EB-000190F2        8
1A5FE9      4A    No     000190F3-00019141       4F
1A6033      13    Yes    00019142-00019149        8
1A6046       3    No     0001914A-00019151        8
1A6049      41    Yes    00019152-00019159        8
1A608B      6E    Yes    0001915A-00019161        8
1A60F9       C    Yes    00019162-00019169        8
1A6105       A    No     0001916A-00019178        F
1A610F      38    Yes    00019179-00019180        8
1A6147       3    No     00019181-00019188        8
1A614A      13    Yes    00019189-00019190        8
1A615D      18    No     00019191-000191AD       1D
1A6175      1E    Yes    000191AE-000191B5        8
1A6193       C    Yes    000191B6-000191BD        8
1A619F      16    Yes    000191BE-000191C5        8
1A61B5      62    No     000191C6-0001922C       67
1A6217      13    Yes    0001922D-00019234        8
1A622A      2F    No     00019235-00019268       34
1A6259      2C    Yes    00019269-00019270        8
1A6285      2C    No     00019271-000192A1       31
1A62B1      2C    Yes    000192A2-000192A9        8
1A62DD      4E    No     000192AA-000192FC       53
1A632B      20    Yes    000192FD-00019304        8
1A634C      15    Yes    00019305-0001930C        8
1A6361      42    Yes    0001930D-00019314        8
1A63A4      41    No     00019315-0001935A       46
1A63E7      40    Yes    0001935B-00019362        8
1A6427      16    Yes    00019363-0001936A        8
1A643D      16    Yes    0001936B-00019372        8
1A6453      2C    Yes    00019373-0001937A        8
1A6480      37    Yes    0001937B-00019382        8
1A64B8      2B    No     00019383-000193B2       30
1A64E3       A    Yes    000193B3-000193BA        8
1A64ED       F    Yes    000193BB-000193C2        8
1A64FC       7    No     000193C3-000193CE        C
1A6503      16    Yes    000193CF-000193D6        8
1A651C      3F    No     000193D7-0001941A       44
1A655B      16    Yes    0001941B-00019422        8
1A6572       A    Yes    00019423-0001942A        8
1A657E      1F    No     0001942B-0001944E       24
1A659E      24    Yes    0001944F-00019456        8
1A65C2       1    No     00019457-0001945C        6
1A65C4      11    Yes    0001945D-00019464        8
1A65D8       7    No     00019465-00019470        C
1A65DF      16    Yes    00019471-00019478        8
1A65F7       D    Yes    00019479-00019480        8
1A6604      1B    No     00019481-000194A0       20
1A6620       D    Yes    000194A1-000194A8        8
1A6630       1    No     000194A9-000194AE        6
1A6637      16    Yes    000194AF-000194B6        8
1A664F       6    No     000194B7-000194C1        B
1A6655       E    Yes    000194C2-000194C9        8
1A6663      16    Yes    000194CA-000194D1        8
1A6679      42    Yes    000194D2-000194D9        8
1A66BC      13    No     000194DA-000194F1       18
1A66CF      26    Yes    000194F2-000194F9        8
1A66F5       2    No     000194FA-00019500        7
1A66F7      14    Yes    00019501-00019508        8
1A670B      33    No     00019509-00019540       38
1A673E      2D    Yes    00019541-00019548        8
1A676B      15    Yes    00019549-00019550        8
1A6781      78    No     00019551-000195CD       7D
1A67F9     423    Yes    000195CE-000195D5        8
1A6C32    83CE    Yes    000195D6-000195DD        8
1B71E8       1    No     000195DE-000195E3        6
1B71F2       A    No     000195E4-000195F2        F
1B8000    1000    Yes    000195F3-000195FA        8
1BE300    C45D    Yes    000195FB-00019602        8
1CA83A     130    Yes    00019603-0001960A        8
1CA96A      FF    No     0001960B-0001970E      104
1CAA69      25    Yes    0001970F-00019716        8
1CAA8E     27A    No     00019717-00019995      27F
1CAD08      62    Yes    00019996-0001999D        8
1CAD6A      B0    No     0001999E-00019A52       B5
1CAE1A      10    Yes    00019A53-00019A5A        8
1CAE2A      FB    No     00019A5B-00019B5A      100
1CAF25      47    Yes    00019B5B-00019B62        8
1CAF6C      80    No     00019B63-00019BE7       85
1CAFEC       E    Yes    00019BE8-00019BEF        8
1CAFFA       4    No     00019BF0-00019BF8        9
1CAFFE       E    Yes    00019BF9-00019C00        8
1CB00C      20    No     00019C01-00019C25       25
1CB02C       E    Yes    00019C26-00019C2D        8
1CB03A     2AF    No     00019C2E-00019EE1      2B4
1CB2E9      81    Yes    00019EE2-00019EE9        8
1CB36A     11D    No     00019EEA-0001A00B      122
1CB488     110    Yes    0001A00C-0001A013        8
1CB598      92    No     0001A014-0001A0AA       97
1CB62A      1A    Yes    0001A0AB-0001A0B2        8
1CB644       5    No     0001A0B3-0001A0BC        A
1CB649      43    Yes    0001A0BD-0001A0C4        8
1CB68C     1DE    No     0001A0C5-0001A2A7      1E3
1CB86A     101    Yes    0001A2A8-0001A2AF        8
1CB96B      BF    No     0001A2B0-0001A373       C4
1CBA2A     140    Yes    0001A374-0001A37B        8
1CBB6A      C0    No     0001A37C-0001A440       C5
1CBC2A     146    Yes    0001A441-0001A448        8
1CBD70     35C    No     0001A449-0001A7A9      361
1CC0CC      11    Yes    0001A7AA-0001A7B1        8
1CC0DD      5E    No     0001A7B2-0001A814       63
1CC13B       F    Yes    0001A815-0001A81C        8
1CC14A      13    No     0001A81D-0001A834       18
1CC15D       F    Yes    0001A835-0001A83C        8
1CC16C      FE    No     0001A83D-0001A93F      103
1CC26A     100    Yes    0001A940-0001A947        8
1CC36A      7F    No     0001A948-0001A9CB       84
1CC3E9     183    Yes    0001A9CC-0001A9D3        8
1CC56C     17D    No     0001A9D4-0001AB55      182
1CC6E9      81    Yes    0001AB56-0001AB5D        8
1CC76A     17F    No     0001AB5E-0001ACE1      184
1CC8E9      81    Yes    0001ACE2-0001ACE9        8
1CC96A     39F    No     0001ACEA-0001B08D      3A4
1CCD09      61    Yes    0001B08E-0001B095        8
1CCD6A      C0    No     0001B096-0001B15A       C5
1CCE2A      40    Yes    0001B15B-0001B162        8
1CCE6A      40    No     0001B163-0001B1A7       45
1CCEAA      4A    Yes    0001B1A8-0001B1AF        8
1CCEF4     335    No     0001B1B0-0001B4E9      33A
1CD229      41    Yes    0001B4EA-0001B4F1        8
1CD26A      3F    No     0001B4F2-0001B535       44
1CD2A9      69    Yes    0001B536-0001B53D        8
1CD312     1A8    No     0001B53E-0001B6EA      1AD
1CD4BA       E    Yes    0001B6EB-0001B6F2        8
1CD4C8      61    No     0001B6F3-0001B758       66
1CD529      11    Yes    0001B759-0001B760        8
1CD53A      30    No     0001B761-0001B795       35
1CD5D8     3C3    Yes    0001B796-0001B79D        8
1CE1B3     39C    Yes    0001B79E-0001B7A5        8
1CE54F       9    Yes    0001B7A6-0001B7AD        8
1CE558      C7    No     0001B7AE-0001B879       CC
1CE61F       E    Yes    0001B87A-0001B881        8
1CE62D      71    No     0001B882-0001B8F7       76
1CE69E      11    Yes    0001B8F8-0001B8FF        8
1CE6AF      80    No     0001B900-0001B984       85
1CE72F      20    Yes    0001B985-0001B98C        8
1CE74F     1D8    No     0001B98D-0001BB69      1DD
1CE927      28    Yes    0001BB6A-0001BB71        8
1CEA80     29D    Yes    0001BB72-0001BB79        8
1CED1D     1CD    No     0001BB7A-0001BD4B      1D2
1CEEEA      15    Yes    0001BD4C-0001BD53        8
1CEEFF       B    No     0001BD54-0001BD63       10
1CEF0A      1B    Yes    0001BD64-0001BD6B        8
1CEF25     1C5    No     0001BD6C-0001BF35      1CA
1CF0EA      15    Yes    0001BF36-0001BF3D        8
1CF0FF       B    No     0001BF3E-0001BF4D       10
1CF10A      13    Yes    0001BF4E-0001BF55        8
1CF1C8     145    Yes    0001BF56-0001BF5D        8
1CF30D     400    No     0001BF5E-0001C362      405
1CF94F     1FF    Yes    0001C363-0001C36A        8
1CFB4E     400    No     0001C36B-0001C76F      405
1D007E     3A5    Yes    0001C770-0001C777        8
1D0423       E    Yes    0001C778-0001C77F        8
1D0431       F    No     0001C780-0001C793       14
1D0440       F    Yes    0001C794-0001C79B        8
1D044F     633    No     0001C79C-0001CDD3      638
1D0A82      21    Yes    0001CDD4-0001CDDB        8
1D0AA3      5F    No     0001CDDC-0001CE3F       64
1D0B02      21    Yes    0001CE40-0001CE47        8
1D0B23      5F    No     0001CE48-0001CEAB       64
1D0B82      24    Yes    0001CEAC-0001CEB3        8
1D0BA6      59    No     0001CEB4-0001CF11       5E
1D0BFF      2D    Yes    0001CF12-0001CF19        8
1D0C2C     177    No     0001CF1A-0001D095      17C
1D0DA3      81    Yes    0001D096-0001D09D        8
1D0E24     161    No     0001D09E-0001D203      166
1D0F85       E    Yes    0001D204-0001D20B        8
1D0F93       7    No     0001D20C-0001D217        C
1D0F9A      89    Yes    0001D218-0001D21F        8
1D1386     29A    Yes    0001D220-0001D227        8
1D1621       9    Yes    0001D228-0001D22F        8
1D162A     4F6    No     0001D230-0001D72A      4FB
1D1B20      FF    Yes    0001D72B-0001D732        8
1D1C20     100    No     0001D733-0001D837      105
1D1D20      FF    Yes    0001D838-0001D83F        8
1D1E20      80    No     0001D840-0001D8C4       85
1D1EA0     17F    Yes    0001D8C5-0001D8CC        8
1D2020      80    No     0001D8CD-0001D951       85
1D20A0     19E    Yes    0001D952-0001D959        8
1D223E      62    No     0001D95A-0001D9C0       67
1D22A0      1E    Yes    0001D9C1-0001D9C8        8
1D22BE      9E    No     0001D9C9-0001DA6B       A3
1D235C      C4    Yes    0001DA6C-0001DA73        8
1D2420     15A    No     0001DA74-0001DBD2      15F
1D257A      A8    Yes    0001DBD3-0001DBDA        8
1D2622      5D    No     0001DBDB-0001DC3C       62
1D267F      25    Yes    0001DC3D-0001DC44        8
1D26A4      7B    No     0001DC45-0001DCC4       80
1D271F     101    Yes    0001DCC5-0001DCCC        8
1D2820      B8    No     0001DCCD-0001DD89       BD
1D28D8     14E    Yes    0001DD8A-0001DD91        8
1D2A26      73    No     0001DD92-0001DE09       78
1D2A99      13    Yes    0001DE0A-0001DE11        8
1D2AAC       1    No     0001DE12-0001DE17        6
1D2AAD      17    Yes    0001DE18-0001DE1F        8
1D2AC4      1B    No     0001DE20-0001DE3F       20
1D2ADF      1F    Yes    0001DE40-0001DE47        8
1D2AFE     102    No     0001DE48-0001DF4E      107
1D2C00      22    Yes    0001DF4F-0001DF56        8
1D2C22      53    No     0001DF57-0001DFAE       58
1D2C75      2D    Yes    0001DFAF-0001DFB6        8
1D2CA2     140    No     0001DFB7-0001E0FB      145
1D2DE2       E    Yes    0001E0FC-0001E103        8
1D2DF0       6    No     0001E104-0001E10E        B
1D2DF6      34    Yes    0001E10F-0001E116        8
1D2E2A      75    No     0001E117-0001E190       7A
1D2E9F      45    Yes    0001E191-0001E198        8
1D2EE4      BB    No     0001E199-0001E258       C0
1D2F9F      82    Yes    0001E259-0001E260        8
1D3021      41    No     0001E261-0001E2A6       46
1D3062       E    Yes    0001E2A7-0001E2AE        8
1D3070     12D    No     0001E2AF-0001E3E0      132
1D319D      83    Yes    0001E3E1-0001E3E8        8
1D3220     500    No     0001E3E9-0001E8ED      505
1D3720     100    Yes    0001E8EE-0001E8F5        8
1D3820     100    No     0001E8F6-0001E9FA      105
1D3920     104    Yes    0001E9FB-0001EA02        8
1D3A24      A4    No     0001EA03-0001EAAB       A9
1D3AC8       E    Yes    0001EAAC-0001EAB3        8
1D3AD6       A    No     0001EAB4-0001EAC2        F
1D3AE0      10    Yes    0001EAC3-0001EACA        8
1D3AF0      10    No     0001EACB-0001EADF       15
1D3B00      14    Yes    0001EAE0-0001EAE7        8
1D3B14       C    No     0001EAE8-0001EAF8       11
1D3B21      FD    Yes    0001EAF9-0001EB00        8
1D3C20     100    No     0001EB01-0001EC05      105
1D3D20     100    Yes    0001EC06-0001EC0D        8
1D3E20     3A0    No     0001EC0E-0001EFB2      3A5
1D41C0      68    Yes    0001EFB3-0001EFBA        8
1D4228      F8    No     0001EFBB-0001F0B7       FD
1D4320     100    Yes    0001F0B8-0001F0BF        8
1D4420      F5    No     0001F0C0-0001F1B9       FA
1D4515     10B    Yes    0001F1BA-0001F1C1        8
1D4629     1D7    Yes    0001F1C2-0001F1C9        8
1D4800     1D0    No     0001F1CA-0001F39E      1D5
1D49D0       D    Yes    0001F39F-0001F3A6        8
1D49DE       1    No     0001F3A7-0001F3AC        6
1D49DF       F    Yes    0001F3AD-0001F3B4        8
1D49EE       2    No     0001F3B5-0001F3BB        7
1D49F0      10    Yes    0001F3BC-0001F3C3        8
1D4A00     1DC    No     0001F3C4-0001F5A4      1E1
1D4BDC      25    Yes    0001F5A5-0001F5AC        8
1D4C01     17F    No     0001F5AD-0001F730      184
1D4D81      7F    Yes    0001F731-0001F738        8
1D4E00     180    No     0001F739-0001F8BD      185
1D4F80      84    Yes    0001F8BE-0001F8C5        8
1D5004     57C    No     0001F8C6-0001FE46      581
1D5580      80    Yes    0001FE47-0001FE4E        8
1D5600     17F    No     0001FE4F-0001FFD2      184
1D577F      83    Yes    0001FFD3-0001FFDA        8
1D5802      7E    No     0001FFDB-0002005D       83
1D5880     180    Yes    0002005E-00020065        8
1D5A00      3F    No     00020066-000200A9       44
1D5A3F     1C1    Yes    000200AA-000200B1        8
1D5C00     180    No     000200B2-00020236      185
1D5D80      7F    Yes    00020237-0002023E        8
1D5E00     17E    No     0002023F-000203C1      183
1D5F7E      84    Yes    000203C2-000203C9        8
1D6002     2E2    No     000203CA-000206B0      2E7
1D62E4       E    Yes    000206B1-000206B8        8
1D62F2      6D    No     000206B9-0002072A       72
1D635F      18    Yes    0002072B-00020732        8
1D6377      69    No     00020733-000207A0       6E
1D63E0      20    Yes    000207A1-000207A8        8
1D6400      DF    No     000207A9-0002088C       E4
1D64DF       F    Yes    0002088D-00020894        8
1D64EE     28F    No     00020895-00020B28      294
1D677D      89    Yes    00020B29-00020B30        8
1D6806     139    No     00020B31-00020C6E      13E
1D693F      C1    Yes    00020C6F-00020C76        8
1D6A00     13F    No     00020C77-00020DBA      144
1D6B3F      C1    Yes    00020DBB-00020DC2        8
1D6C00     3A0    No     00020DC3-00021167      3A5
1D6FA0      64    Yes    00021168-0002116F        8
1D7004     8D3    No     00021170-00021A47      8D8
1D78D7       F    Yes    00021A48-00021A4F        8
1D78E6      F3    No     00021A50-00021B47       F8
1D79D9      27    Yes    00021B48-00021B4F        8
1D7A00     2C3    No     00021B50-00021E17      2C8
1D7CC3       E    Yes    00021E18-00021E1F        8
1D7CD1     2AD    No     00021E20-000220D1      2B2
1D7F7F      81    Yes    000220D2-000220D9        8
1D8000     200    Yes    000220DA-000220E1        8
1D8200     168    No     000220E2-0002224E      16D
1D8368      10    Yes    0002224F-00022256        8
1D8378     1D2    No     00022257-0002242D      1D7
1D854A      18    Yes    0002242E-00022435        8
1D8562       A    No     00022436-00022444        F
1D856C      18    Yes    00022445-0002244C        8
1D8584     13C    No     0002244D-0002258D      141
1D86C0       E    Yes    0002258E-00022595        8
1D86CE       1    No     00022596-0002259B        6
1D86CF       F    Yes    0002259C-000225A3        8
1D86DE     11B    No     000225A4-000226C3      120
1D87F9      15    Yes    000226C4-000226CB        8
1D880E       2    No     000226CC-000226D2        7
1D8811       D    Yes    000226D3-000226DA        8
1D881E     141    No     000226DB-00022820      146
1D895F       F    Yes    00022821-00022828        8
1D896E       2    No     00022829-0002282F        7
1D8970      10    Yes    00022830-00022837        8
1D8980      3F    No     00022838-0002287B       44
1D89BF      41    Yes    0002287C-00022883        8
1D8A00     1B7    No     00022884-00022A3F      1BC
1D8BB7      49    Yes    00022A40-00022A47        8
1D8C00      BB    No     00022A48-00022B07       C0
1D8CBB     149    Yes    00022B08-00022B0F        8
1D8E04     1BC    No     00022B10-00022CD0      1C1
1D8FC0      3F    Yes    00022CD1-00022CD8        8
1D9000     27C    No     00022CD9-00022F59      281
1D927C       E    Yes    00022F5A-00022F61        8
1D928A      B2    No     00022F62-00023018       B7
1D933C       E    Yes    00023019-00023020        8
1D934A     435    No     00023021-0002345A      43A
1D9780      41    Yes    0002345B-00023462        8
1D97C1      1F    No     00023463-00023486       24
1D97E0      4C    Yes    00023487-0002348E        8
1D982C      14    No     0002348F-000234A7       19
1D9840      2C    Yes    000234A8-000234AF        8
1D986C      14    No     000234B0-000234C8       19
1D9880      1C    Yes    000234C9-000234D0        8
1D989C     1D4    No     000234D1-000236A9      1D9
1D9A70       F    Yes    000236AA-000236B1        8
1D9A7F     383    No     000236B2-00023A39      388
1D9E02       E    Yes    00023A3A-00023A41        8
1D9E10       1    No     00023A42-00023A47        6
1D9E11       F    Yes    00023A48-00023A4F        8
1D9E20      35    No     00023A50-00023A89       3A
1D9E55      2F    Yes    00023A8A-00023A91        8
1D9E84      17    No     00023A92-00023AAD       1C
1D9E9B      2B    Yes    00023AAE-00023AB5        8
1D9EC6      39    No     00023AB6-00023AF3       3E
1D9EFF      27    Yes    00023AF4-00023AFB        8
1D9F26      17    No     00023AFC-00023B17       1C
1D9F3D      63    Yes    00023B18-00023B1F        8
1D9FA0      35    No     00023B20-00023B59       3A
1D9FD5      31    Yes    00023B5A-00023B61        8
1DA006     1BA    No     00023B62-00023D20      1BF
1DA1C0      40    Yes    00023D21-00023D28        8
1DA200     176    No     00023D29-00023EA3      17B
1DA376      22    Yes    00023EA4-00023EAB        8
1DA399       5    No     00023EAC-00023EB5        A
1DA39E      12    Yes    00023EB6-00023EBD        8
1DA3B0       6    No     00023EBE-00023EC8        B
1DA3B6      1C    Yes    00023EC9-00023ED0        8
1DA3D2       A    No     00023ED1-00023EDF        F
1DA3DC      24    Yes    00023EE0-00023EE7        8
1DA400     16A    No     00023EE8-00024056      16F
1DA56A       E    Yes    00024057-0002405E        8
1DA578       2    No     0002405F-00024065        7
1DA57A      1A    Yes    00024066-0002406D        8
1DA594       C    No     0002406E-0002407E       11
1DA5A0       E    Yes    0002407F-00024086        8
1DA5AE       2    No     00024087-0002408D        7
1DA5B1       D    Yes    0002408E-00024095        8
1DA5BE       2    No     00024096-0002409C        7
1DA5C0      11    Yes    0002409D-000240A4        8
1DA5D2       6    No     000240A5-000240AF        B
1DA5D8      22    Yes    000240B0-000240B7        8
1DA5FA     1C1    No     000240B8-0002427D      1C6
1DA7BB      11    Yes    0002427E-00024285        8
1DA7CC     2B1    No     00024286-0002453B      2B6
1DAA7D     183    Yes    0002453C-00024543        8
1DAC00     370    No     00024544-000248B8      375
1DAF70       E    Yes    000248B9-000248C0        8
1DAF7E     21B    No     000248C1-00024AE0      220
1DB199      12    Yes    00024AE1-00024AE8        8
1DB1AC       1    No     00024AE9-00024AEE        6
1DB1AD      17    Yes    00024AEF-00024AF6        8
1DB1C4      1B    No     00024AF7-00024B16       20
1DB1E0      1E    Yes    00024B17-00024B1E        8
1DB1FE     2A2    No     00024B1F-00024DC5      2A7
1DB4A0      20    Yes    00024DC6-00024DCD        8
1DB4C0     1BE    No     00024DCE-00024F90      1C3
1DB680     188    Yes    00024F91-00024F98        8
1DB808      37    No     00024F99-00024FD4       3C
1DB83F       F    Yes    00024FD5-00024FDC        8
1DB84E      22    No     00024FDD-00025003       27
1DB870       E    Yes    00025004-0002500B        8
1DB87E     3F7    No     0002500C-00025407      3FC
1DBC75     18B    Yes    00025408-0002540F        8
1DBE00     458    No     00025410-0002586C      45D
1DC258     1AA    Yes    0002586D-00025874        8
1DC402     17E    No     00025875-000259F7      183
1DC580      10    Yes    000259F8-000259FF        8
1DC590      1D    No     00025A00-00025A21       22
1DC5AD      15    Yes    00025A22-00025A29        8
1DC5C2       B    No     00025A2A-00025A39       10
1DC5CD      15    Yes    00025A3A-00025A41        8
1DC5E2       B    No     00025A42-00025A51       10
1DC5ED      13    Yes    00025A52-00025A59        8
1DC600     3A2    No     00025A5A-00025E00      3A7
1DC9A2       E    Yes    00025E01-00025E08        8
1DC9B0     1EC    No     00025E09-00025FF9      1F1
1DCB9C      64    Yes    00025FFA-00026001        8
1DCC00      F6    No     00026002-000260FC       FB
1DCCF6       F    Yes    000260FD-00026104        8
1DCD05      99    No     00026105-000261A2       9E
1DCD9E      69    Yes    000261A3-000261AA        8
1DCE07     139    No     000261AB-000262E8      13E
1DCF40      C1    Yes    000262E9-000262F0        8
1DD002      5E    No     000262F1-00026353       63
1DD060      4F    Yes    00026354-0002635B        8
1DD0AF      ED    No     0002635C-0002644D       F2
1DD19C      6B    Yes    0002644E-00026455        8
1DD207      BB    No     00026456-00026515       C0
1DD2C2       D    Yes    00026516-0002651D        8
1DD2D0       2    No     0002651E-00026524        7
1DD2D2       F    Yes    00026525-0002652C        8
1DD2E1       1    No     0002652D-00026532        6
1DD2E2       E    Yes    00026533-0002653A        8
1DD2F0       3    No     0002653B-00026542        8
1DD2F3      12    Yes    00026543-0002654A        8
1DD305      99    No     0002654B-000265E8       9E
1DD39E      69    Yes    000265E9-000265F0        8
1DD407     139    No     000265F1-0002672E      13E
1DD540      CB    Yes    0002672F-00026736        8
1DD60C      73    No     00026737-000267AE       78
1DD680       C    Yes    000267AF-000267B6        8
1DD68D     10F    No     000267B7-000268CA      114
1DD79C      68    Yes    000268CB-000268D2        8
1DD804      BE    No     000268D3-00026995       C3
1DD8C2       E    Yes    00026996-0002699D        8
1DD8D0      25    No     0002699E-000269C7       2A
1DD8F5      10    Yes    000269C8-000269CF        8
1DD906      98    No     000269D0-00026A6C       9D
1DD99E      69    Yes    00026A6D-00026A74        8
1DDA07     139    No     00026A75-00026BB2      13E
1DDB41      BF    Yes    00026BB3-00026BBA        8
1DDC00     14D    No     00026BBB-00026D0C      152
1DDD4D      21    Yes    00026D0D-00026D14        8
1DDD6E       1    No     00026D15-00026D1A        6
1DDD6F      10    Yes    00026D1B-00026D22        8
1DDD7F      41    No     00026D23-00026D68       46
1DDDC0      20    Yes    00026D69-00026D70        8
1DDDE0     120    No     00026D71-00026E95      125
1DDF00      4E    Yes    00026E96-00026E9D        8
1DDF4E       1    No     00026E9E-00026EA3        6
1DDF50       F    Yes    00026EA4-00026EAB        8
1DDF5F      61    No     00026EAC-00026F11       66
1DDFC1      1F    Yes    00026F12-00026F19        8
1DDFE0      2D    No     00026F1A-00026F4B       32
1DE00E      14    Yes    00026F4C-00026F53        8
1DE022       B    No     00026F54-00026F63       10
1DE02D      14    Yes    00026F64-00026F6B        8
1DE042       B    No     00026F6C-00026F7B       10
1DE04D      14    Yes    00026F7C-00026F83        8
1DE062       B    No     00026F84-00026F93       10
1DE06D      15    Yes    00026F94-00026F9B        8
1DE082       B    No     00026F9C-00026FAB       10
1DE08D      15    Yes    00026FAC-00026FB3        8
1DE0A2       B    No     00026FB4-00026FC3       10
1DE0AD      14    Yes    00026FC4-00026FCB        8
1DE0C2       B    No     00026FCC-00026FDB       10
1DE0CD      15    Yes    00026FDC-00026FE3        8
1DE0E2       B    No     00026FE4-00026FF3       10
1DE0ED      19    Yes    00026FF4-00026FFB        8
1DE106      6E    No     00026FFC-0002706E       73
1DE175       D    Yes    0002706F-00027076        8
1DE182       B    No     00027077-00027086       10
1DE18D      15    Yes    00027087-0002708E        8
1DE1A2       B    No     0002708F-0002709E       10
1DE1AD      15    Yes    0002709F-000270A6        8
1DE1C2       B    No     000270A7-000270B6       10
1DE1CD      15    Yes    000270B7-000270BE        8
1DE1E2       B    No     000270BF-000270CE       10
1DE1ED      1B    Yes    000270CF-000270D6        8
1DE208     657    No     000270D7-00027732      65C
1DE860       D    Yes    00027733-0002773A        8
1DE86D     513    No     0002773B-00027C52      518
1DED80      80    Yes    00027C53-00027C5A        8
1DEE00     17D    No     00027C5B-00027DDC      182
1DEF7D      85    Yes    00027DDD-00027DE4        8
1DF002     210    No     00027DE5-00027FF9      215
1DF213       D    Yes    00027FFA-00028001        8
1DF220      12    No     00028002-00028018       17
1DF232       E    Yes    00028019-00028020        8
1DF240     1D0    No     00028021-000281F5      1D5
