Lunar IPS (LIPS) Version 1.03
Apply IPS Patch Log

Offset    Size    RLE    IPS_File_Range       IPS_File_Size
00C9DA      12    No     000011E2-000011F8       17
00CA1A       4    No     000011F9-00001201        9
00CA26       A    No     00001202-00001210        F
00CA3A       6    No     00001211-0000121B        B
00CA4E       6    No     0000121C-00001226        B
00CA5A       6    No     00001227-00001231        B
00CA68       3    No     00001232-00001239        8
00CA7E       4    No     0000123A-00001242        9
00CA8A      1E    No     00001243-00001265       23
00CAC6      1C    No     00001266-00001286       21
00CB06      19    No     00001287-000012A4       1E
00CB3C       1    No     000012A5-000012AA        6
00CB44      17    No     000012AB-000012C6       1C
00CB84      16    No     000012C7-000012E1       1B
00CBAA      30    No     000012E2-00001316       35
00CBEA      30    No     00001317-0000134B       35
00CC2E      24    No     0000134C-00001374       29
00CC6A      28    No     00001375-000013A1       2D
00CCA6      34    No     000013A2-000013DA       39
00CCE6      23    No     000013DB-00001402       28
00CD12       9    No     00001403-00001410        E
00CD2A      1B    No     00001411-00001430       20
00CD4E      12    No     00001431-00001447       17
00CD8A      1A    No     00001448-00001466       1F
00CDC6      22    No     00001467-0000148D       27
00CE02      2A    No     0000148E-000014BC       2F
00CE3E      32    No     000014BD-000014F3       37
00CE7A      1A    No     000014F4-00001512       1F
00CE9A      36    No     00001513-0000154D       3B
00CEDE      2E    No     0000154E-00001580       33
00CF32       6    No     00001581-0000158B        B
00CF6E       E    No     0000158C-0000159E       13
00CFAA      16    No     0000159F-000015B9       1B
00CFEA      1A    No     000015BA-000015D8       1F
00D02C      1C    No     000015D9-000015F9       21
00D05E       4    No     000015FA-00001602        9
00D06A      10    No     00001603-00001617       15
00D084       4    No     00001618-00001620        9
00D09A       8    No     00001621-0000162D        D
00D0AA       E    No     0000162E-00001640       13
00D0DA       8    No     00001641-0000164D        D
00D11A       8    No     0000164E-0000165A        D
00D152      12    No     0000165B-00001671       17
00D192      16    No     00001672-0000168C       1B
00D1D2      1A    No     0000168D-000016AB       1F
00D20E      22    No     000016AC-000016D2       27
00D23A       6    No     000016D3-000016DD        B
00D24A     18A    No     000016DE-0000186C      18F
00D3DA      72    No     0000186D-000018E3       77
00D452      36    No     000018E4-0000191E       3B
00D492      32    No     0000191F-00001955       37
00D4CA      36    No     00001956-00001990       3B
00D508     18C    No     00001991-00001B21      191
00D69A      36    No     00001B22-00001B5C       3B
00D6DE      2E    No     00001B5D-00001B8F       33
00D732       6    No     00001B90-00001B9A        B
00D76E       E    No     00001B9B-00001BAD       13
00D7AA      16    No     00001BAE-00001BC8       1B
00D7EA      1A    No     00001BC9-00001BE7       1F
00D82C      1C    No     00001BE8-00001C08       21
00D85E       4    No     00001C09-00001C11        9
00D86A      10    No     00001C12-00001C26       15
00D884       4    No     00001C27-00001C2F        9
00D89A       8    No     00001C30-00001C3C        D
00D8AA       E    No     00001C3D-00001C4F       13
00D8DA       8    No     00001C50-00001C5C        D
00D91A       8    No     00001C5D-00001C69        D
00D952      12    No     00001C6A-00001C80       17
00D992      13    No     00001C81-00001C98       18
00D9D2      17    No     00001C99-00001CB4       1C
00DA0E      1F    No     00001CB5-00001CD8       24
00DA3C       1    No     00001CD9-00001CDE        6
00DA4A      27    No     00001CDF-00001D0A       2C
00DA78     31A    No     00001D0B-00002029      31F
00DD9A      34    No     0000202A-00002062       39
00DDDC      2E    No     00002063-00002095       33
00DE20      26    No     00002096-000020C0       2B
00DE64      1E    No     000020C1-000020E3       23
00DEA8      16    No     000020E4-000020FE       1B
00DEEC       E    No     000020FF-00002111       13
00DFB0       6    No     00002112-0000211C        B
00DFEC       E    No     0000211D-0000212F       13
00E02C      10    No     00002130-00002144       15
00E06A      10    No     00002145-00002159       15
00E0A0       2    No     0000215A-00002160        7
00E0AA       E    No     00002161-00002173       13
00E0DC       6    No     00002174-0000217E        B
00E11A       8    No     0000217F-0000218B        D
00E15A       A    No     0000218C-0000219A        F
00E19A       C    No     0000219B-000021AB       11
00E1D4      16    No     000021AC-000021C6       1B
00E212      1C    No     000021C7-000021E7       21
00E23D       1    No     000021E8-000021ED        6
00E24E      24    No     000021EE-00002216       29
00E279       9    No     00002217-00002224        E
00E28C      36    No     00002225-0000225F       3B
00E2C9     2C9    No     00002260-0000252D      2CE
00E59A      34    No     0000252E-00002566       39
00E5DC      2E    No     00002567-00002599       33
00E620      26    No     0000259A-000025C4       2B
00E664      1E    No     000025C5-000025E7       23
00E6A8      16    No     000025E8-00002602       1B
00E6EC       E    No     00002603-00002615       13
00E7B0       6    No     00002616-00002620        B
00E7E6      14    No     00002621-00002639       19
00E822      22    No     0000263A-00002660       27
00E862      2A    No     00002661-0000268F       2F
00E8A0      30    No     00002690-000026C4       35
00E8DC      38    No     000026C5-00002701       3D
00E91A      3A    No     00002702-00002740       3F
00E95A      3A    No     00002741-0000277F       3F
00E99A     2B8    No     00002780-00002A3C      2BD
00EC5A      38    No     00002A3D-00002A79       3D
00EC9C      36    No     00002A7A-00002AB4       3B
00ECE0      2A    No     00002AB5-00002AE3       2F
00ED24      22    No     00002AE4-00002B0A       27
00ED68      18    No     00002B0B-00002B27       1D
00EDAC       E    No     00002B28-00002B3A       13
00EDF0       6    No     00002B3B-00002B45        B
01016D       2    No     00002B46-00002B4C        7
01064C       2    No     00002B4D-00002B53        7
010691       2    No     00002B54-00002B5A        7
01076C      57    No     00002B5B-00002BB6       5C
0107C6      29    Yes    00002BB7-00002BBE        8
0107F0      37    No     00002BBF-00002BFA       3C
010827      45    Yes    00002BFB-00002C02        8
01086C      AE    No     00002C03-00002CB5       B3
011444       1    No     00002CB6-00002CBB        6
011453       7    No     00002CBC-00002CC7        C
011531       1    No     00002CC8-00002CCD        6
011540       7    No     00002CCE-00002CD9        C
01164A     125    No     00002CDA-00002E03      12A
011771      44    Yes    00002E04-00002E0B        8
0117B7      31    No     00002E0C-00002E41       36
0117EF      12    No     00002E42-00002E58       17
01182C      1F    Yes    00002E59-00002E60        8
01184D      29    No     00002E61-00002E8E       2E
0118B7      76    Yes    00002E8F-00002E96        8
01192E      4B    No     00002E97-00002EE6       50
0119AB      2A    No     00002EE7-00002F15       2F
011A2C      46    No     00002F16-00002F60       4B
011A75       5    Yes    00002F61-00002F68        8
011AB3       1    No     00002F69-00002F6E        6
011B27     2F6    No     00002F6F-00003269      2FB
011E1D       A    Yes    0000326A-00003271        8
0136C7       9    No     00003272-0000327F        E
013B4C       1    No     00003280-00003285        6
013E67       7    No     00003286-00003291        C
01474D      98    No     00003292-0000332E       9D
0147ED      4A    No     0000332F-0000337D       4F
01483B      2D    Yes    0000337E-00003385        8
014868      1A    No     00003386-000033A4       1F
014883      E5    Yes    000033A5-000033AC        8
014968      26    No     000033AD-000033D7       2B
01498F      AB    Yes    000033D8-000033DF        8
